category,vendor,description,amount
Bills & Utilities,Water Service,monthly service,635.48
Shopping,Amazon,shoes #1164,111.71
Transportation,BP,ride #9607,39.67
Transportation,BP,fuel taxi,28.15
Entertainment,Netflix,game music entertainment #5692,15.07
Entertainment,Netflix,streaming music,33.91
Entertainment,Xbox,streaming music,38.93
Shopping,Amazon,accessories,129.53
Entertainment,AMC Theaters,entertainment music #3796,29.26
Transportation,Uber,transit,72.37
Transportation,Lyft,transit,38.23
Bills & Utilities,AT&T,utility payment monthly,887.35
Transportation,Shell,transit gas ride,6.61
Groceries,Whole Foods,meat #4609,183.96
Shopping,H&M,clothes,29.7
Healthcare,Quest Diagnostics,doctor prescription medicine,357.12
Transportation,Lyft,gas fuel transit,30.57
Shopping,Best Buy,purchase accessories shoes #5407,56.22
Others,Miscellaneous,payment other service,209.64
Groceries,Safeway,groceries food meat,120.45
Groceries,Walmart,produce food bread,177.83
Healthcare,Quest Diagnostics,medical,433.92
Entertainment,Spotify,music game,20.77
Shopping,H&M,accessories,110.11
Food & Dining,Local Restaurant,meal,528.06
Entertainment,Steam,music,36.85
Groceries,Whole Foods,dairy groceries produce,44.55
Transportation,BP,transit gas,48.8
Others,Miscellaneous,general other,250.07
Healthcare,Walgreens,doctor medicine,380.86
Bills & Utilities,Water Service,service utility payment,257.85
Food & Dining,Subway,meal lunch,351.45
Others,Unknown Vendor,misc other,205.49
Transportation,Uber,transportation,28.07
Healthcare,CVS,prescription medicine health,441.6
Groceries,Walmart,produce dairy bread,141.38
Food & Dining,McDonalds,restaurant meal,516.83
Shopping,H&M,purchase shoes,289.26
Transportation,Lyft,ride fuel,43.68
Entertainment,Spotify,game #3356,39.74
Others,Unknown Vendor,service,645.51
Groceries,Safeway,meat produce bread,155.86
Entertainment,Spotify,streaming #4141,36.27
Transportation,Shell,ride fuel transportation,67.11
Transportation,Metro,taxi gas fuel,30.85
Bills & Utilities,AT&T,payment utility,947.39
Food & Dining,Subway,delivery takeout restaurant,611.76
Transportation,Uber,fuel gas,49.91
Bills & Utilities,AT&T,utility service,993.9
Others,Various Services,payment,69.94
Others,Various Services,payment general,164.82
Groceries,Walmart,dairy #7770,88.9
Entertainment,Xbox,streaming music,26.41
Food & Dining,McDonalds,takeout meal delivery,236.69
Transportation,Metro,taxi transit,57.16
Entertainment,Netflix,music game entertainment #9231,24.72
Groceries,Trader Joes,groceries #8728,138.95
Entertainment,Netflix,movie,48.39
Bills & Utilities,Verizon,bill monthly utility,779.37
Healthcare,Local Clinic,health prescription,293.11
Transportation,BP,transportation #7645,50.26
Shopping,Best Buy,accessories shoes,167.0
Healthcare,Walgreens,medicine,383.1
Bills & Utilities,Electric Company,payment,918.99
Healthcare,CVS,medical medicine doctor,222.99
Bills & Utilities,Electric Company,bill utility payment #7149,460.24
Transportation,Lyft,taxi,54.92
Shopping,Nike,clothes shoes #7467,222.78
Healthcare,CVS,prescription,438.08
Transportation,Lyft,ride transit fuel,68.88
Others,Unknown Vendor,payment service misc,89.52
Bills & Utilities,Electric Company,payment #9875,380.55
Others,Various Services,general #3827,580.62
Groceries,Trader Joes,produce,177.43
Healthcare,Walgreens,doctor #2265,331.86
Groceries,Safeway,groceries,22.96
Groceries,Walmart,meat food #8946,110.16
Bills & Utilities,Water Service,bill payment utility #3762,403.43
Transportation,Metro,transportation fuel,17.81
Food & Dining,Local Restaurant,delivery #6923,711.41
Others,Various Services,service general #9431,523.33
Transportation,Uber,transit,5.15
Food & Dining,Subway,delivery restaurant takeout,766.92
Entertainment,Spotify,streaming entertainment,34.5
Shopping,Best Buy,accessories clothes #7173,217.51
Transportation,Lyft,gas fuel transportation,70.79
Groceries,Whole Foods,produce #6694,156.72
Shopping,Amazon,accessories shoes,250.72
Shopping,H&M,clothes #2959,103.43
Others,Various Services,other,372.83
Entertainment,Spotify,movie streaming,38.85
Groceries,Safeway,dairy groceries meat #8431,33.24
Transportation,Shell,ride fuel #2231,68.45
Food & Dining,McDonalds,dinner meal restaurant #6149,475.25
Food & Dining,McDonalds,restaurant,737.48
Groceries,Walmart,dairy produce bread #3028,55.86
Others,Miscellaneous,other general payment,83.08
Groceries,Trader Joes,bread dairy food #6137,187.9
Healthcare,CVS,health medicine,128.1
Transportation,Metro,fuel,43.89
Bills & Utilities,Water Service,bill,904.52
Transportation,Lyft,transportation,70.89
Others,Miscellaneous,other service,243.49
Shopping,Best Buy,electronics purchase accessories,239.0
Entertainment,Steam,streaming,26.33
Food & Dining,McDonalds,takeout lunch,583.34
Healthcare,Walgreens,medical medicine prescription,386.82
Others,Various Services,general #2154,97.58
Entertainment,AMC Theaters,game entertainment streaming #1574,35.46
Shopping,Amazon,shoes clothes electronics,159.1
Transportation,Lyft,transportation #3458,27.89
Transportation,Uber,transportation transit #5590,28.36
Food & Dining,Local Restaurant,restaurant takeout,145.45
Groceries,Trader Joes,produce,163.53
Others,Miscellaneous,payment other,521.52
Food & Dining,McDonalds,meal takeout dinner,265.99
Bills & Utilities,Electric Company,payment,679.2
Food & Dining,Chipotle,meal delivery takeout,342.92
Transportation,Shell,transportation #3112,36.26
Others,Miscellaneous,general,919.28
Entertainment,Spotify,streaming,41.78
Others,Miscellaneous,service misc #4974,491.4
Healthcare,Quest Diagnostics,prescription #5203,365.79
Others,Various Services,general misc,37.94
Shopping,Amazon,clothes electronics shoes,157.8
Groceries,Walmart,groceries,151.07
Bills & Utilities,Water Service,service bill,729.38
Others,Various Services,service,537.23
Shopping,Amazon,clothes purchase accessories,70.15
Healthcare,Quest Diagnostics,health prescription #6063,139.39
Groceries,Trader Joes,bread groceries meat,104.17
Transportation,Metro,taxi fuel transportation,28.4
Bills & Utilities,Water Service,bill monthly payment,524.55
Others,Unknown Vendor,payment misc,251.8
Bills & Utilities,Verizon,monthly utility,11.61
Healthcare,Walgreens,medical medicine prescription,478.67
Shopping,Best Buy,purchase clothes shoes #6636,282.38
Entertainment,AMC Theaters,movie game,14.11
Transportation,BP,transportation fuel ride,76.96
Others,Unknown Vendor,service #3397,395.62
Food & Dining,Pizza Hut,meal restaurant,690.74
Entertainment,Xbox,music entertainment,25.06
Bills & Utilities,Verizon,payment #1539,243.23
Others,Various Services,service general misc,284.1
Shopping,Best Buy,clothes shoes purchase,124.33
Entertainment,Spotify,game,24.28
Shopping,H&M,clothes purchase #1027,83.16
Entertainment,Netflix,entertainment game #8838,10.06
Food & Dining,Subway,delivery,194.16
Entertainment,Steam,entertainment movie,14.94
Shopping,Nike,purchase electronics,145.45
Bills & Utilities,Water Service,service payment utility,123.04
Food & Dining,Local Restaurant,lunch,414.37
Healthcare,Local Clinic,medical health prescription #3844,333.19
Entertainment,AMC Theaters,game streaming,47.77
Bills & Utilities,Water Service,bill,540.94
Shopping,Target,accessories electronics #4231,158.86
Groceries,Trader Joes,produce bread dairy #7616,189.76
Others,Various Services,other,580.37
Bills & Utilities,Verizon,utility bill #9092,670.62
Others,Miscellaneous,general misc service,546.6
Bills & Utilities,Electric Company,monthly utility service,795.66
Groceries,Kroger,dairy #5108,168.0
Groceries,Kroger,dairy groceries,179.66
Entertainment,Spotify,streaming,20.75
Entertainment,Netflix,streaming game music,40.55
Food & Dining,McDonalds,dinner,80.21
Others,Various Services,misc general,747.68
Bills & Utilities,Electric Company,payment #8171,777.96
Others,Various Services,misc,194.24
Bills & Utilities,AT&T,monthly #9278,288.21
Groceries,Whole Foods,produce dairy groceries,107.2
Entertainment,Xbox,game music #1745,40.35
Entertainment,Spotify,game music,35.73
Entertainment,Netflix,entertainment #3586,13.34
Transportation,Lyft,gas taxi #6100,22.73
Shopping,Best Buy,clothes electronics accessories #7721,32.99
Shopping,Amazon,shoes electronics accessories,102.04
Healthcare,Walgreens,health medical,182.56
Shopping,Amazon,electronics clothes,294.09
Food & Dining,Pizza Hut,restaurant lunch #9651,469.78
Others,Miscellaneous,general misc other,898.6
Transportation,Uber,transit fuel,40.37
Shopping,Target,shoes #3054,94.27
Healthcare,Walgreens,medical medicine,129.25
Entertainment,Netflix,game movie streaming,48.32
Shopping,Best Buy,purchase accessories,180.78
Others,Unknown Vendor,payment other,586.7
Bills & Utilities,AT&T,payment,159.11
Entertainment,Steam,music,41.97
Groceries,Safeway,bread meat #9801,124.42
Transportation,BP,transportation gas,26.12
Food & Dining,Pizza Hut,delivery lunch,75.38
Bills & Utilities,Electric Company,utility,577.63
Transportation,BP,gas ride #2934,75.06
Shopping,Target,accessories,107.68
Bills & Utilities,AT&T,payment service #2387,324.85
Transportation,BP,gas #1793,59.21
Healthcare,CVS,health,374.46
Healthcare,Local Clinic,medical doctor prescription,88.5
Healthcare,CVS,medical,65.71
Bills & Utilities,AT&T,monthly payment service,74.26
Food & Dining,Subway,meal restaurant #9761,172.17
Bills & Utilities,Electric Company,bill,782.9
Bills & Utilities,AT&T,payment,962.5
Groceries,Walmart,produce groceries,166.58
Bills & Utilities,Verizon,utility monthly bill #5746,562.18
Shopping,Nike,accessories electronics,26.31
Others,Miscellaneous,general service,317.53
Transportation,Lyft,ride,55.15
Groceries,Trader Joes,meat dairy produce #1633,106.34
Transportation,Shell,ride fuel transportation,60.87
Shopping,Nike,accessories clothes shoes,225.2
Others,Miscellaneous,service #7729,276.89
Transportation,BP,fuel gas transportation #8334,30.21
Others,Unknown Vendor,general misc,751.58
Food & Dining,Pizza Hut,delivery restaurant lunch,85.09
Entertainment,Steam,music movie,39.16
Shopping,Nike,purchase clothes electronics,164.6
Bills & Utilities,Water Service,utility service,733.94
Transportation,BP,taxi,75.0
Entertainment,Spotify,movie entertainment,28.22
Others,Unknown Vendor,misc payment general #5181,799.74
Food & Dining,McDonalds,delivery dinner restaurant,514.98
Bills & Utilities,AT&T,payment bill #9062,922.38
Others,Miscellaneous,other service,173.2
Groceries,Trader Joes,dairy,42.78
Groceries,Kroger,bread produce,21.43
Entertainment,Steam,music entertainment game,43.74
Entertainment,AMC Theaters,entertainment music streaming,34.68
Transportation,Uber,gas fuel,9.31
Groceries,Whole Foods,food groceries #5419,42.15
Others,Miscellaneous,payment service other,435.85
Shopping,Amazon,clothes shoes electronics,280.97
Healthcare,CVS,prescription medicine health,309.55
Groceries,Safeway,dairy food bread #1414,110.21
Groceries,Trader Joes,produce groceries,28.17
Groceries,Whole Foods,bread,47.21
Transportation,Metro,ride gas fuel,74.7
Transportation,Lyft,taxi #8619,55.71
Healthcare,Walgreens,health medicine medical,345.94
Bills & Utilities,Verizon,bill utility monthly,735.43
Healthcare,Walgreens,medicine health doctor,276.51
Entertainment,Steam,movie entertainment music,13.75
Others,Unknown Vendor,other misc general,963.32
Transportation,Shell,transit ride fuel,13.16
Food & Dining,Pizza Hut,dinner,563.61
Bills & Utilities,Water Service,monthly service payment,503.23
Shopping,H&M,accessories purchase clothes,125.23
Transportation,BP,ride #9474,67.31
Shopping,Nike,purchase clothes #4931,215.96
Bills & Utilities,Water Service,monthly payment service,851.69
Healthcare,Quest Diagnostics,prescription medical #3700,345.37
Food & Dining,Chipotle,restaurant delivery #4030,323.16
Groceries,Trader Joes,meat bread,63.68
Bills & Utilities,AT&T,monthly service #1724,401.45
Others,Miscellaneous,general payment,726.79
Shopping,H&M,clothes electronics shoes,23.34
Groceries,Trader Joes,bread,162.88
Food & Dining,Chipotle,restaurant,280.04
Shopping,H&M,shoes purchase clothes #8545,133.06
Groceries,Kroger,bread #5351,36.21
Bills & Utilities,Verizon,monthly service,304.99
Transportation,Shell,ride,6.19
Groceries,Kroger,meat bread #3325,194.43
Transportation,BP,gas fuel taxi #5961,67.08
Transportation,BP,gas transit taxi #7736,72.43
Food & Dining,Pizza Hut,lunch meal delivery #7470,444.04
Food & Dining,Chipotle,delivery dinner lunch,545.91
Bills & Utilities,Verizon,utility,877.93
Others,Miscellaneous,other misc service,599.05
Bills & Utilities,AT&T,payment #7935,522.67
Bills & Utilities,AT&T,payment bill utility,543.7
Entertainment,AMC Theaters,game movie,44.64
Entertainment,AMC Theaters,streaming game,48.0
Transportation,Shell,gas ride fuel #4387,71.24
Food & Dining,McDonalds,restaurant takeout,896.63
Others,Miscellaneous,other #7639,153.43
Healthcare,Quest Diagnostics,medicine #3129,220.12
Others,Miscellaneous,misc,721.12
Healthcare,Walgreens,health prescription,498.58
Food & Dining,Local Restaurant,takeout,27.56
Transportation,Shell,ride fuel,25.43
Healthcare,CVS,health medicine,412.78
Transportation,Metro,transit transportation #2981,68.9
Healthcare,Walgreens,prescription,246.13
Others,Unknown Vendor,other #2573,291.51
Entertainment,Xbox,movie music entertainment #7712,45.32
Entertainment,Xbox,music streaming entertainment,11.53
Bills & Utilities,Water Service,payment bill,660.92
Healthcare,Walgreens,prescription medical,252.23
Transportation,Shell,taxi ride fuel,32.16
Entertainment,Netflix,game entertainment movie #4085,34.74
Entertainment,Netflix,movie,10.61
Food & Dining,Subway,delivery #6087,113.6
Food & Dining,McDonalds,takeout restaurant dinner #1903,325.77
Bills & Utilities,Electric Company,payment #1031,926.53
Others,Unknown Vendor,misc payment other,974.69
Healthcare,CVS,prescription health,367.87
Entertainment,Netflix,streaming music,15.31
Bills & Utilities,Electric Company,payment monthly service,230.01
Healthcare,CVS,health medical medicine,244.86
Entertainment,AMC Theaters,music entertainment game #4305,30.17
Transportation,Shell,ride transit,67.07
Bills & Utilities,Electric Company,monthly service,487.79
Groceries,Trader Joes,bread produce,171.48
Shopping,H&M,electronics #7658,53.29
Food & Dining,Pizza Hut,lunch,501.88
Groceries,Kroger,produce bread,61.98
Food & Dining,Pizza Hut,takeout restaurant #6527,563.73
Bills & Utilities,Water Service,utility payment,734.0
Healthcare,Local Clinic,medicine health,465.53
Entertainment,Steam,entertainment game,12.09
Groceries,Kroger,groceries dairy meat,180.88
Others,Miscellaneous,payment service other,877.44
Groceries,Whole Foods,meat groceries produce #6817,47.07
Food & Dining,Chipotle,takeout dinner,278.84
Others,Miscellaneous,service,328.35
Bills & Utilities,AT&T,monthly utility,912.73
Food & Dining,Subway,meal delivery,889.0
Entertainment,AMC Theaters,game entertainment music #1023,13.76
Groceries,Walmart,groceries dairy #6690,130.18
Entertainment,Steam,game streaming entertainment #4881,10.25
Food & Dining,Pizza Hut,takeout dinner #1525,536.57
Groceries,Safeway,dairy #8070,133.17
Food & Dining,Subway,lunch #6738,725.18
Others,Various Services,misc other general #6319,440.81
Transportation,Lyft,taxi gas,17.72
Bills & Utilities,AT&T,bill,925.06
Healthcare,Walgreens,prescription doctor medical,229.36
Food & Dining,Pizza Hut,restaurant lunch,513.52
Shopping,Nike,shoes electronics #3783,53.04
Groceries,Trader Joes,bread meat,128.69
Entertainment,Xbox,streaming #3707,23.94
Bills & Utilities,Water Service,utility monthly,319.19
Bills & Utilities,Electric Company,utility payment service,507.86
Healthcare,CVS,health medicine,460.93
Food & Dining,Chipotle,takeout lunch restaurant,667.41
Groceries,Safeway,dairy,187.65
Food & Dining,Local Restaurant,delivery restaurant,708.04
Groceries,Trader Joes,produce food,190.13
Healthcare,Walgreens,doctor health medicine,166.85
Transportation,Shell,transportation ride,50.74
Food & Dining,McDonalds,meal delivery lunch,141.45
Shopping,Best Buy,purchase,209.35
Food & Dining,Local Restaurant,lunch restaurant,566.03
